interfaces connectors sockets 

allowed encouraged urged 
allowing encouraging urging 

criticising denigrating congratulating 
criticise denigrate congratulate 

biological psychological psychiatric 
Biological Psychological Psychiatric 

explore investigate uncover 
exploring investigating uncovering 

revived revive reviving 
restarted restart restarting 

altered altering alters 
manipulated manipulating manipulates 

artists composers painters 
Artists Composers Painters 

program programs Programs 
facility facilities Facilities 

moral ethical aesthetic 
Morality Ethics Aesthetics 

discussions debates conversations 
Discussion Debate Conversation 

political educational governmental 
Political Educational Governmental 

adapted reworked tweaked 
adapting reworking tweaking 

ignorance arrogance naivety 
ignorant arrogant naive 

farmers farms Farm 
planters plantations Plantation 

grandparents uncles father-in-law 
grandchildren nephews son-in-law 

archaeology Archaeology Archaeological 
linguistics Linguistics Linguistic 

expanded enhanced boosted 
expands enhances boosts 

pounds euros francs 
pound euro franc 

effective efficient affordable 
Effective Efficient Affordable 

legislation regulations restrictions 
Legislation Regulations Restrictions 

diseases pathology immunology 
Diseases Pathology Immunology 

powder gel dye 
powders gels dyes 

economy culture cuisine 
Economy Culture Cuisine 

replaced replace replacement 
reinstated reinstate reinstatement 

companies employees employers 
Companies Employees Employers 

genetics neuroscience neurology 
Genetics Neuroscience Neurology 

reduce reducing reduces 
accelerate accelerating accelerates 

Building Hotel Room 
Buildings Hotels Rooms 

art sculpture artwork 
Art Sculpture Artwork 

texts contexts discourses 
textual contextual discursive 

turning pulling lifting 
Turn Pull Lift 

talking discussing debating 
talked discussed debated 

Turks Spaniards Czechs 
Istanbul Madrid Prague 

claim dispute contention 
claiming disputing contending 

Regiment regiment Regiments 
Battalion battalion Battalions 

conflict disagreement misunderstanding 
conflicts disagreements misunderstandings 

announced announcing announces 
confirmed confirming confirms 

same exactly exact 
Same Exactly Exact 

cynical disillusioned apathetic 
cynicism disillusionment apathy 

processes patterns cycles 
Processes Patterns Cycles 

written published compiled 
write publish compile 

thieves thugs assassins 
thief thug assassin 

writer writers Writers 
composer composers Composers 

actors celebrities photographers 
Actors Celebrities Photographers 

defects abnormalities irregularities 
defect abnormality irregularity 

salt Salt salty 
sand Sand sandy 

University universities Universities 
Hospital hospitals Hospitals 

conclusion implication inference 
conclusions implications inferences 

affect interfere complicate 
affects interferes complicates 

Christian Baptist Methodist 
Christians Baptists Methodists 

manager assistant assistants 
Manager Assistant Assistants 

producers publishers composers 
Producer Publisher Composer 

fix resolve solve 
fixing resolving solving 

sophisticated skilled versatile 
sophistication skill versatility 

claims disputes litigation 
Claims Disputes Litigation 

created established opened 
Created Established Opened 

clear consistent precise 
unclear inconsistent imprecise 

Israeli Israelis israel 
Pakistani Pakistanis pakistan 

know understand learn 
Know Understand Learn 

regulated enforced legislated 
Regulation Enforcement Legislation 

woodland meadow orchard 
woodlands meadows orchards 

violated violate violating 
disregarded disregard disregarding 

award awards awarding 
honor honors honoring 

psychological philosophical theological 
psychologists philosophers theologians 

containing comprising constituting 
contained comprised constituted 

carbon silicon titanium 
Carbon Silicon Titanium 

chaos instability volatility 
chaotic unstable volatile 

German Germany Nazi 
german germany nazi 

appropriate suitable adequate 
inappropriate unsuitable inadequate 

deserve belong qualify 
deserves belongs qualifies 

argue arguing argues 
concede conceding concedes 

fill occupy populate 
filled occupied populated 

accurate comprehensive balanced 
Accurate Comprehensive Balanced 

family families Family 
community communities Community 

search searches searched 
scan scans scanned 

America Canada Mexico 
Americans Canadians Mexicans 

teaching taught teaches 
preaching preached preaches 

options proposals alternatives 
Options Proposals Alternatives 

fishing hunting farming 
fished hunted farmed 

want seek undertake 
wanted sought undertook 

weapons guns bombs 
Weapons Guns Bombs 

cooperation collaboration interaction 
cooperating collaborating interacting 

assessed judged critiqued 
assessing judging critiquing 

disseminated disseminate disseminating 
perpetuated perpetuate perpetuating 

development design engineering 
developer designer engineer 

terrorism terrorists terrorist 
Terrorism Terrorists Terrorist 

reliability verifiability verification 
Reliability Verifiability Verification 

insisted conceded pleaded 
insists concedes pleads 

returned replaced switched 
returning replacing switching 

journalist researcher analyst 
Journalist Researcher Analyst 

download downloads downloading 
scan scans scanning 

textbooks dictionaries atlases 
textbook dictionary atlas 

explore analyze visualize 
exploring analyzing visualizing 

Buddhism Buddhist Buddhists 
Sikhism Sikh Sikhs 

benefits benefit benefited 
impacts impact impacted 

restaurant dining catering 
Restaurant Dining Catering 

abnormal abnormalities abnormality 
anomalous anomalies anomaly 

informed notified instructed 
informs notifies instructs 

complexity ambiguity nuance 
complexities ambiguities nuances 

volcano crater asteroid 
volcanoes craters asteroids 

Uganda Ghana Senegal 
Kampala Accra Dakar 

declared proclaimed decreed 
declaration proclamation decree 

services providers provider 
products manufacturers manufacturer 

legislative legislators legislatures 
parliamentary parliamentarians parliaments 

abuse misuse misrepresentation 
abusing misusing misrepresenting 

used allowed authorized 
uses allows authorizes 

describe classify designate 
describes classifies designates 

wrapped stuffed padded 
wrapping stuffing padding 

get come happen 
gets comes happens 

plane planes Plane 
helicopter helicopters Helicopter 

traditions Tradition Traditions 
myths Myth Myths 

leaders leader leadership 
Leaders Leader Leadership 

asked asking Asking 
requested requesting Requesting 

snap snapped snapping 
rattle rattled rattling 

flag banner header 
flags banners headers 

Spanish Mexican Colombian 
Spaniards Mexicans Colombians 

determine locate decipher 
determining locating deciphering 

transferred transported hauled 
transferring transporting hauling 

peak summit ridge 
peaks summits ridges 

losing withdrawing suspending 
loses withdraws suspends 

user users Users 
reader readers Readers 

shouting shouted shouts 
chanting chanted chants 

combined combining combines 
blended blending blends 

resemble resembles resembled 
predate predates predated 

dynamic interactive collaborative 
dynamically interactively collaboratively 

wife mistress maid 
Wife Mistress Maid 

employment wages wage 
Employment Wages Wage 

high higher highest 
strong stronger strongest 

sport racing cycling 
sportsman racer cyclist 

collection collections Collection 
anthology anthologies Anthology 

robot sensor UAV 
robots sensors UAVs 

reasonable plausible conceivable 
reasonably plausibly conceivably 

deportation deported deport 
expulsion expelled expel 

detected detect detects 
uncovered uncover uncovers 

album CD DVD 
albums CDs DVDs 

noticed detected alerted 
noticing detecting alerting 

racist racism prejudice 
Racist Racism Prejudice 

give giving Giving 
extend extending Extending 

programme programmes postgraduate 
Programme Programmes Postgraduate 

education schools universities 
Education Schools Universities 

discrimination persecution repression 
discriminated persecuted repressed 

american america americans 
russian russia russians 

invited prompted provoked 
inviting prompting provoking 

problems solution crisis 
Problems Solution Crisis 

lung respiratory cardiac 
Lung Respiratory Cardiac 

writer writers Writers 
publisher publishers Publishers 

license licenses License 
licence licences Licence 

Jewish Muslim Islamic 
jewish muslim islamic 

break broke breaking 
breach breached breaching 

steering steer steered 
navigating navigate navigated 

tears cry crying 
Tears Cry Crying 

representatives rep reps 
executives exec execs 

teaching teachers teacher 
preaching preachers preacher 

global regional urban 
Global Regional Urban 

Iraq Baghdad Iraqis 
Syria Damascus Syrians 

orchestra symphony concerto 
orchestras symphonies concertos 

created introduced replaced 
Created Introduced Replaced 

Croatia Albania Estonia 
Croatian Albanian Estonian 

contributors contributor Contributor 
correspondents correspondent Correspondent 

trafficking smuggling transporting 
trafficked smuggled transported 

assault invasion conquest 
assaults invasions conquests 

success triumph setback 
successes triumphs setbacks 

released captured freed 
releasing capturing freeing 

reflect refer pertain 
reflects refers pertains 

proposed proposing proposes 
agreed agreeing agrees 

entered participated competed 
enter participate compete 

tweaking rewording rearranging 
tweaked reworded rearranged 

flight flights airline 
Flight Flights Airline 

investigations investigators investigator 
inspections inspectors inspector 

users individuals persons 
Users Individuals Persons 

kidnapping assassination abduction 
kidnappings assassinations abductions 

Russia Putin russia 
Ukraine Poroshenko ukraine 

agree agreed agrees 
expect expected expects 

french arab persian 
france israel iran 

come came comes 
Come Came Comes 

Russian Ukrainian Belarusian 
Moscow Kiev Minsk 

reviewed assessed analysed 
reviewing assessing analysing 

furniture textiles textile 
Furniture Textiles Textile 

golf Golf LPGA 
tennis Tennis WTA 

music Music Musicians 
poetry Poetry Poets 

explaining describing defining 
Explaining Describing Defining 

job career profession 
jobs careers professions 

delayed delays delaying 
disrupted disruptions disrupting 

full wide narrow 
Full Wide Narrow 

Jose Ramon Andres 
José Ramón Andrés 

girls guys chaps 
girl guy chap 

geology geological Geological 
archaeology archaeological Archaeological 

ceased persisted reappeared 
ceases persists reappears 

denied deny denying 
admitted admit admitting 

protect preserve uphold 
protects preserves upholds 

Argentina Peru Ecuador 
Argentine Peruvian Ecuadorian 

days months month 
Days Months Month 

prohibition ordinance edict 
prohibitions ordinances edicts 

claim claims Claims 
statement statements Statements 

Hungary Hungarian Budapest 
Finland Finnish Helsinki 

patients hospitals wards 
patient hospital ward 

drop knock bounce 
dropped knocked bounced 

approval approvals Approval 
confirmation confirmations Confirmation 

prison prisons correctional 
Prison Prisons Correctional 

drug Drug drug-related 
alcohol Alcohol alcohol-related 

celebrated celebrating celebrates 
proclaimed proclaiming proclaims 

protesting denouncing applauding 
protested denounced applauded 

empowering motivating instructing 
empower motivate instruct 

son wife husband 
sons wives husbands 

knife firearm grenade 
knives firearms grenades 

Armenian Turkmen Kyrgyz 
Armenia Turkmenistan Kyrgyzstan 

