he his father's 
swedes norwegians finns 

poor poorer poorest 
rich richer richest 

poor rich wealthy 
poorest richest wealthiest 

revolution revolutionary revolved 
evolution evolutionary evolved 

revolution revolve revolved 
evolution evolve evolved 

revolution revolving revolve 
evolution evolving evolve 

1970s 1980s 1950s 
mid-1970s mid-1980s mid-1950s 

1970s 1980s 1990s 
1970's 1980's 1990's 

1970s 1990s 1950s 
mid-1970s mid-1990s mid-1950s 

covered covers covering 
recovered recovers recovering 

covered recovered repaired 
covering recovering repairing 

tell realize reveal 
telling realizing revealing 

mark marked marks 
remark remarked remarks 

duke princess duchess 
dukes princes duchies 

recent subsequent eventual 
recently subsequently eventually 

recent previous obvious 
recently previously obviously 

pay paying payment 
buy buying buyer 

pay buy sell 
paying buying selling 

actually fact certainly 
actual factual certainty 

1980s 80s mid-1980s 
1950s 50s mid-1950s 

victoria tasmania caledonia 
victorian tasmanian caledonian 

appointed appointment appointments 
resigned resign resigns 

appointed resigned disappointed 
appointment resign disappointment 

appointed advised supervised 
appoint advise supervise 

appointed advised exercised 
appoints advises exercises 

piano pianist violinist 
pianos pianists violinists 

piano pianist pianists 
violin violinist violinists 

piano pianist pianos 
oboe saxophonist trombones 

piano pianist pianists 
cello cellist cellists 

piano cello clarinet 
pianist cellist clarinetist 

piano violinist soloist 
pianos violinists soloists 

piano soloist recital 
pianos soloists recitals 

physical geophysical metaphysical 
physics biophysics metaphysics 

physical physics physiology 
geophysical biophysics microbiology 

physical logical logically 
geophysical geological geologically 

physical mechanical optical 
physics mechanics optics 

pictures photographs cameras 
picture photograph camera 

training raining draining 
trained rained drained 

training trained trainer 
raining rained rainer 

training learning earning 
trained learned earned 

reviews reviewer reviewing 
views viewer viewing 

reviews reviewers reviewer 
views viewers viewer 

reviews review reviewed 
views view viewed 

reviews reviewed reviewer 
views viewed viewer 

reviews views interviews 
reviewed viewed interviewed 

structure construct reconstruct 
structured constructed reconstructed 

paper newspaper publisher 
papers newspapers publishers 

egypt egypt's mesopotamian 
pharaoh pharaoh's mycenae 

egypt egyptian egyptians 
syria syrian syrians 

egypt syria assyria 
egyptian syrian assyrian 

egypt syria assyria 
egyptians syrians assyrians 

heat heated heating 
cheat cheated cheating 

travel visit invite 
traveled visited invited 

engine turbine axle 
engines turbines axles 

israel lebanon tunisia 
israeli lebanese tunisian 

austria austrian austrians 
hungary hungarian hungarians 

austria austrian austrians 
prussia prussian prussians 

austria hungary latvia 
austrian hungarian latvian 

austria hungary albania 
austrians hungarians albanians 

austria prussia silesia 
austrian prussian silesian 

austria prussia saxony 
austrians prussians saxons 

coach footballer golfer 
coaches footballers golfers 

depression depressions depressive 
impression impressions impressive 

depression oppression obsession 
depressive oppressive obsessive 

depression disturbance thunderstorm 
depressions disturbances thunderstorms 

depression impression oppression 
depressive impressive oppressive 

market markets marketed 
price prices priced 

market supermarket retailer 
markets supermarkets retailers 

market price wage 
markets prices wages 

musician songwriter vocalist 
musicians songwriters vocalists 

musician pianist violinist 
musicians pianists violinists 

musician comedian filmmaker 
musicians comedians filmmakers 

musician magician technician 
musicians magicians technicians 

musician physician magician 
musicians physicians magicians 

musician vocalist soloist 
musicians vocalists soloists 

musician guitarist drummer 
musicians guitarists drummers 

supported supporting opposing 
imported importing imposing 

supported imported exported 
supporting importing exporting 

elements implements supplements 
elementary complementary supplementary 

charge charged charges 
discharge discharged discharges 

charge discharge rechargeable 
charged discharged recharged 

room rooms bedroom 
bathroom bathrooms bathtub 

room hotel townhouse 
rooms hotels warehouses 

room apartment compartment 
rooms apartments compartments 

officer commander lieutenant 
officers commanders lieutenants 

officer lieutenant tenant 
officers lieutenants tenants 

mount seamount hotspot 
mounts seamounts hotspots 

mount volcano seamount 
mounts volcanoes seamounts 

remains remained remain 
retains retained retain 

remains remaining remain 
retains retaining retain 

remains retains stains 
remained retained stained 

fast faster fastest 
slow slower slowest 

fast faster fastest 
easy easier easiest 

fast slow quick 
fast-moving slow-moving quicksand 

collection collections collecting 
reflection reflections reflecting 

collection collections collecting 
selection selections selecting 

collection collecting collective 
selection selecting selective 

collection collected collecting 
selection selected selecting 

collection reflection depiction 
collections reflections depictions 

collection reflection depiction 
collecting reflecting depicting 

collection selection reflection 
collections selections reflections 

collection selection reflection 
collecting selecting reflecting 

collection selection reflection 
collective selective reflective 

collection selection reelection 
collected selected reelected 

collection exhibition artwork 
collections exhibitions artworks 

note denote footnote 
notes denotes footnotes 

note quote footnote 
notes quotes footnotes 

appear appears appearing 
disappear disappears disappearing 

appear appearance appearing 
disappear disappearance disappearing 

honor honors honorable 
honour honours honourable 

switzerland belgium norway 
swiss belgian norwegian 

competition competitor contender 
competitions competitors contenders 

competition petition ambition 
competitions petitions ambitions 

competition contest contestant 
competitions contests contestants 

distance constance reluctance 
distantly constantly reluctantly 

presidential presidency presided 
residential residency resided 

presidential presidents presided 
residential residents resided 

brothers brother's brother-in-law 
fathers father's father-in-law 

brothers brother's brother-in-law 
sisters sister's sister-in-law 

brothers half-brother brother-in-law 
sisters half-sister sister-in-law 

brothers fathers mothers 
brother's father's mother's 

brothers sisters daughters 
brother's sister's daughter's 

brothers sisters daughters 
brother-in-law sister-in-law daughter-in-law 

ball balloon bucket 
balls balloons buckets 

ball basket bucket 
balls baskets buckets 

relationship relationships kinship 
partnership partnerships ownership 

relationship friendship hardship 
relationships friendships hardships 

products exports imports 
producing exporting importing 

split splits splitting 
break breaks breaking 

split divide multiply 
splitting dividing multiplying 

objects objective objected 
subjects subjective subjected 

objects subjects rejects 
objected subjected rejected 

objects subjects aspects 
objective subjective perspective 

workers worker co-workers 
laborers labor labors 

workers employers buyers 
worker employer buyer 

workers farmers owners 
worker's farmer's owner's 

weapons firearms shotguns 
weapon firearm shotgun 

weapons guns shotguns 
weapon gun shotgun 

view viewing viewer 
review reviewing reviewer 

view views viewer 
review reviews reviewer 

view viewed viewer 
review reviewed reviewer 

view review comment 
viewing reviewing commenting 

view review interview 
views reviews interviews 

view review interview 
viewed reviewed interviewed 

cathedral chapel basilica 
cathedrals chapels basilicas 

cathedral monastery jesuit 
cathedrals monasteries jesuits 

trying attempting intending 
tries attempts intends 

trying crying waking 
tries cries wakes 

listed ranked rated 
listings rankings ratings 

taught teach teaches 
learned learn learns 

taught teaching teach 
educated educating educate 

taught learned realized 
teaches learns realizes 

remained remaining remain 
retained retaining retain 

remained stayed waited 
remain stay wait 

remained retained attained 
remain retain attain 

remained maintained retained 
remaining maintaining retaining 

remained gained obtained 
remaining gaining obtaining 

conference reference preference 
conferences references preferences 

conference reference preference 
conferred referred preferred 

conference meeting greeting 
conferences meetings greetings 

cultural historical geographical 
culturally historically geographically 

attacks bombings explosions 
attacked bombed exploded 

poland finland norway 
poland's finland's norway's 

allows gallows hollows 
allowance galloway holloway 

attacked attacker attackers 
invaded invader invaders 

attacked attacker attackers 
defended defender defenders 

attacked attacking attacker 
invaded invading invader 

attacked attacking attackers 
defended defending defenders 

attacked captured escaped 
attacker capture escape 

attacked invaded surrendered 
attacker invader surrender 

attacked invaded conquered 
attacking invading conquering 

attacked retreated seized 
attacking retreating seizing 

attacked defended offended 
attackers defenders offenders 

attacked lacked cracked 
attacking lacking cracking 

stay remain maintain 
stayed remained maintained 

contract contracts contractor 
tract tracts tractor 

contract contraction contractor 
tract traction tractor 

contract tract extract 
contracts tracts extracts 

contract tract extract 
contraction traction extraction 

contract agreement dispute 
contracts agreements disputes 

positive positively gram-positive 
negative negatively gram-negative 

positive negative critical 
positively negatively critically 

learn learned learns 
earn earned earns 

learn learns learners 
teach teaches teachers 

learn learning learner 
teach teaching teacher 

learn learning learns 
earn earning earns 

learn learners learner 
teach teachers teacher 

learn teach educate 
learned taught educated 

learn teach educate 
learning teaching educating 

learn teach educate 
learners teachers educators 

learn understand explain 
learning understanding explaining 

learn earn obtain 
learned earned obtained 

historical historian historians 
archaeological archaeologist archaeologists 

historical historians historically 
geographical geographers geographically 

historical archaeological geological 
historian archaeologist geologist 

historical archaeological geological 
historians archaeologists geologists 

historical geographical geological 
historically geographically geologically 

guitar guitarist drummer 
guitars guitarists drummers 

guitar bass oboe 
guitars basses oboes 

guitar bass drums 
guitarist bassist drummer 

guitar drummer vocalist 
guitars drummers vocalists 

break leak sneak 
breaks leaks sneaks 

join joining joins 
merge merging merges 

join merge emerge 
joins merges emerges 

join merge emerge 
joining merging emerging 

join meet arrive 
joins meets arrives 

poet poe kerouac 
poet's poe's kerouac's 

poet novelist english-born 
poets novelists englishmen 

poet novelist essayist 
poems novels essays 

poet essayist dramatist 
poems essays dramas 

poet poem memoir 
poets poems memoirs 

poet poem poems 
novelist novel novels 

poet poem poems 
essayist essay essays 

poet poems poets 
novelist novels novelists 

protect protection protecting 
prevent prevention preventing 

protect prevent avoid 
protecting preventing avoiding 

teacher teachers teacher's 
student students student's 

teacher preacher nun 
teachers preachers nuns 

teacher teach teachers 
educator educate educators 

teacher teach teachers 
learner learn learners 

teacher teaching teachers 
preacher preaching preachers 

teacher teaching teach 
educator educating educate 

teacher teaching teach 
learner learning learn 

teacher teaching teachers 
practitioner practicing practitioners 

teacher educator entrepreneur 
teachers educators entrepreneurs 

teacher educator schoolteacher 
teaching educating schooling 

teacher practitioner therapist 
teachers practitioners therapists 

nation nationals nationally 
hibernation internationals internationally 

southeast northeast east-southeast 
south-west north-west east-west 

southeast northeast east-southeast 
south-central north-central east-central 

southeast southwest southwestern 
north-east north-west north-western 

southeast southeastern east-southeast 
northwest northwestern west-northwest 

southeast south-east east-southeast 
northwest north-west west-northwest 

southeast south-west south-central 
east-southeast east-west east-central 

southeast south-west south-central 
northeast north-west north-central 

southeast south-central southerly 
northeast north-central northerly 

southeast southernmost southerly 
northeast northernmost northerly 

reach achieve overcome 
reaching achieving overcoming 

chosen choose chooses 
selected select selects 

painting paintings painted 
sculpture sculptures sculpted 

painting paintings painted 
depicting depictions depicted 

painting paint sculpture 
paintings paints sculptures 

painting painted painters 
sculpture sculpted sculptors 

painting painted paints 
printing printed prints 

painting painter painters 
sculpture sculptor sculptors 

painting painters paints 
printing printers prints 

painting sculpture carving 
paintings sculptures carvings 

painting drawing depicting 
paintings drawings depictions 

painting portrait sculptor 
paints portraits sculptors 

painting printing handwriting 
painters printers typewriters 

painting depicting portraying 
painted depicted portrayed 

justice supreme judge 
justices supremes judges 

justice judge juror 
justices judges jurors 

leaders leadership dictatorship 
readers readership censorship 

entered enter enters 
centered center centers 

entered encountered countered 
enters encounters counters 

northwest southwest west-northwest 
north-central south-central west-central 

northwest northeast northwestern 
south-west south-east south-western 

northwest northwestern northwestward 
south-west south-western southward 

brazil brazilian brazil's 
argentina argentinian argentina's 

brazil argentina chile 
brazil's argentina's chile's 

brazil argentina colombia 
brazilian argentinian colombian 

brazil portugal sicily 
brazilian portuguese sicilian 

plane airplane aeroplane 
planes airplanes aeroplanes 

instruments flutes oboes 
instrument flute oboe 

supreme judge juror 
supremes judges jurors 

appears appearance appearing 
disappears disappearance disappearing 

environment ecosystem ecoregion 
environments ecosystems ecoregions 

highway freeway walkway 
highways freeways walkways 

highway motorway tramway 
highways motorways tramways 

construction reconstruction renovation 
constructed reconstructed renovated 

construction constructed construct 
reconstruction reconstructed reconstruct 

construction constructed constructions 
instruction instructed instructions 

construction constructed constructions 
renovation renovated renovations 

construction constructor constructions 
instruction instructor instructions 

construction constructors constructor 
instruction instructors instructor 

construction instruction deduction 
constructions instructions deductions 

construction instruction reconstruction 
constructed instructed reconstructed 

construction renovation refurbishment 
constructed renovated refurbished 

referred refer referring 
preferred prefer preferring 

referred refers refer 
preferred prefers prefer 

referred transferred transformed 
referring transferring transforming 

results resulted resulting 
insults insulted insulting 

planet asteroid steroid 
planets asteroids steroids 

planet comet meteor 
planets comets meteors 

treaty agreement negotiation 
treaties agreements negotiations 

winner dinner beginner 
winners dinners beginners 

tower shower sewer 
towers showers sewers 

fruit nut doughnut 
fruits nuts doughnuts 

dog cat goat 
dogs cats goats 

practice practiced practicing 
practise practised practising 

earned earn earns 
learned learn learns 

earned earn earns 
gained gain gains 

earned earning earns 
learned learning learns 

earned earning earns 
gained gaining gains 

earned learned trained 
earning learning training 

earned learned warned 
earns learns warns 

earned gained regained 
earn gain regain 

earned gained obtained 
earning gaining obtaining 

earned gained retained 
earns gains retains 

earned obtained attained 
earn obtain attain 

fort fortress fortification 
forts fortresses fortifications 

newspaper journalist novelist 
newspapers journalists novelists 

newspaper publisher publication 
newspapers publishers publications 

southwest southward southwards 
west-northwest westward westwards 

southwest south-western south-eastern 
northwestern western eastern 

directly correctly perfectly 
direction correction perfection 

directly direction directions 
correctly correction corrections 

refers refer referring 
prefers prefer preferring 

refers describes scribes 
refer describe scribe 

refers reference referring 
prefers preference preferring 

treatment medication indication 
treatments medications indications 

treatment patient medication 
treatments patients medications 

generation generated generate 
regeneration regenerated regenerate 

captured capture captures 
escaped escape escapes 

captured escaped rescued 
captures escapes rescues 

captured escaped fled 
capturing escaping fleeing 

captured invaded conquered 
capture invade conquer 

captured seized recaptured 
capture seize recapture 

provide provides providing 
maintain maintains maintaining 

provide provides providing 
require requires requiring 

provide provided provides 
prove proved proves 

provide prove propose 
provides proves proposes 

provide prove propose 
provided proved proposed 

provide maintain establish 
provides maintains establishes 

provide maintain establish 
providing maintaining establishing 

provide require enable 
providing requiring enabling 

powers powered powering 
lowers lowered lowering 

invented experimented analyzed 
inventing experimenting analyzing 

matches matching matched 
watches watching watched 

matches matching matched 
hatches hatching hatched 

matches watches hatches 
matched watched hatched 

matches watches catches 
matching watching catching 

matches catches hatches 
matching catching hatching 

edition audition ambition 
editions auditions ambitions 

edition expedition exploration 
editions expeditions explorations 

count counts counting 
account accounts accounting 

count counted counting 
account accounted accounting 

wants asks refuses 
wanting asking refusing 

wants refuses promises 
wanting refusing promising 

wants knows realizes 
wanting knowing realizing 

wants lets sends 
wanting letting sending 

describe describes describing 
explain explains explaining 

describe describing descriptions 
explain explaining explanations 

describe prescribe scribe 
descriptions prescriptions scripts 

describe refer prefer 
describes refers prefers 

describe refer consider 
describing referring considering 

describe description descriptions 
prescribe prescription prescriptions 

describe explain predict 
describing explaining predicting 

describe identify modify 
describing identifying modifying 

rain rains rained 
drain drains drained 

rain raining rained 
drain draining drained 

opening opens open-mid 
closing closes close-mid 

physics physiology physiologist 
biophysics microbiology microbiologist 

physics physiology microbiology 
physicist physiologist microbiologist 

physics physicist physicists 
mathematics mathematician mathematicians 

physics cosmology biophysics 
physiology morphology microbiology 

physics mathematics astrophysics 
physicist mathematician astrophysicist 

physics chemistry physiology 
physicist chemist physiologist 

consists insists resists 
consisted insisted resisted 

consists resists twists 
consisting resisting twisting 

carried transported exported 
carrying transporting exporting 

operation cooperation negotiation 
operating cooperating negotiating 

operation cooperation co-operation 
operative cooperative co-operative 

operation cooperation negotiation 
operate cooperate negotiate 

operation cooperation negotiation 
operated cooperated negotiated 

operation operating operate 
cooperation cooperating cooperate 

operation co-operation consultation 
operative co-operative consultative 

operation operate operative 
cooperation cooperate cooperative 

operation operated operate 
cooperation cooperated cooperate 

graduated graduate graduating 
attended attend attending 

thousands hundreds dozens 
thousand hundred dozen 

paintings painted painter 
sculptures sculpted sculptor 

paintings sculptures carvings 
painted sculpted carved 

paintings sculptures engravings 
painter sculptor engraver 

ordered attempted prompted 
ordering attempting prompting 

paid paying payment 
employed employing employment 

paid unemployed benefited 
payment unemployment benefits 

paid employed financed 
paying employing financing 

paid employed unemployed 
payment employment unemployment 

colony colonies colonists 
settlement settlements settlers 

colony settlement settler 
colonies settlements settlers 

bbc nbc abc 
bbc's nbc's abc's 

foundation recommendation obligation 
foundations recommendations obligations 

foundation charity donation 
foundations charities donations 

greece persia assyria 
greeks persians assyrians 

greece babylonia assyria 
greeks babylonians assyrians 

princess duchess heiress 
princes duchies heirs 

bible apostle disciple 
bibles apostles disciples 

politics politicians politically 
economics economists economically 

northeast north-west north-central 
east-southeast east-west east-central 

operating operate operative 
cooperating cooperate cooperative 

operating operated operate 
cooperating cooperated cooperate 

represented represent represents 
presented present presents 

represented representing representation 
presented presenting presentation 

represented represents representing 
presented presents presenting 

represented representation representations 
presented presentation presentations 

represented presented commented 
representing presenting commenting 

represented presented documented 
representation presentation documentation 

ability possibility capability 
abilities possibilities capabilities 

ability disability capability 
abilities disabilities capabilities 

website blog blogger 
websites blogs bloggers 

appearance disappearance clearance 
appearing disappearing clearing 

planned planning planners 
banned banning banners 

planned manned scanned 
planners manners scanners 

planned banned canned 
planning banning canning 

planned banned scanned 
planners banners scanners 

understand understanding understood 
explain explaining explained 

understand explain predict 
understanding explaining predicting 

understand explain predict 
understood explained predicted 

singing dancing skating 
singers dancers skaters 

anything anyone anybody 
everything everyone everybody 

anything anywhere anybody 
everything everywhere everybody 

agreed agree agreements 
disagreed disagree disagreements 

agreed agrees agreeing 
refused refuses refusing 

agreed agreement agreements 
disagreed disagreement disagreements 

agreed disagreed disliked 
agree disagree dislike 

agreed agreements negotiation 
disagreed disagreements disarmament 

agreed agreements agreeing 
negotiated negotiations negotiating 

agreed promised persuaded 
agrees promises persuades 

agreed promised compromised 
agreement promise compromise 

agreed negotiated obliged 
agreements negotiations obligations 

agreed refused promised 
agreeing refusing promising 

agreed refused persuaded 
agrees refuses persuades 

agreed demanded seized 
agreeing demanding seizing 

responsible responsibility responses 
sensible sensibility senses 

controlled rolled walled 
controller roller waller 

protection protecting protective 
detection detecting detective 

protection protects protecting 
prevention prevents preventing 

learned trained rained 
learning training raining 

learned realized realised 
learns realizes realises 

dangerous disastrous hazardous 
dangers disasters hazards 

dangerous serious severe 
dangerously seriously severely 

claimed reclaimed recaptured 
claim reclaim recapture 

memorial cemetery burial 
memorials cemeteries burials 

memorial burial excavation 
memorials burials excavations 

engineering engineer engineered 
pioneering pioneer pioneered 

engineering engineer engineers 
technical technician technicians 

engineering engineers engineered 
pioneering pioneers pioneered 

stated statement statements 
commented comment comments 

stated commented tweeted 
statements comments tweets 

increased increase increases 
decreased decrease decreases 

increased increase increases 
reduced reduce reduces 

increased decreased decree 
increases decreases decrees 

increased increasing increases 
reduced reducing reduces 

increased reduced decreased 
increase reduce decrease 

increased reduced decreased 
increases reduces decreases 

declared reclaimed recaptured 
declare reclaim recapture 

required permitted enforced 
requiring permitting enforcing 

direction projection correction 
directions projections corrections 

direction motion notion 
directions motions notions 

legs ankles elbows 
leg ankle elbow 

insects wasps caterpillars 
insect wasp caterpillar 

belgian belgium belgians 
norwegian norway norwegians 

belgian norwegian finnish 
belgians norwegians finns 

belgian norwegian scandinavian 
belgium norway scandinavia 

lawyer attorney congressman 
lawyers attorneys congresses 

lawyer businessman entrepreneur 
lawyers businessmen entrepreneurs 

lawyer prosecutor juror 
lawyers prosecutors jurors 

lawyer judge juror 
lawyers judges jurors 

estimated estimate estimating 
approximately approximate approximation 

murder murderer robber 
murders murderers robbers 

murder rape harassment 
murdered raped harassed 

increase increasing increases 
reduce reducing reduces 

hosted posted commented 
hosting posting commenting 

arrested arrests arresting 
protested protests protesting 

arrested murdered assaulted 
arrests murderers assaults 

arrested suspected prosecuted 
arrests suspects prosecutions 

killing killings killers 
shooting shootings shooters 

killing kills killings 
shooting shoots shootings 

killing murdering wandering 
killer murderer wanderer 

killing killer killers 
murdering murderer murderers 

killing kidnapping murdering 
killers kidnappers murderers 

killing shooting bombing 
killings shootings bombings 

churches bishops popes 
church's bishop's pope's 

provided proved concluded 
provides proves concludes 

provided guided raided 
providing guiding raiding 

journalist journalism journalists 
activist activism activists 

journalist essayist biographer 
journals essays biographies 

journalist novelist english-born 
journalists novelists englishmen 

journalist journal journalists 
reporter report reporters 

journalist finalist loyalist 
journalists finalists loyalists 

journalist activist feminist 
journalists activists feminists 

journalist feminist abolitionist 
journalists feminists abolitionists 

defined define defines 
determined determine determines 

defined define defines 
fined fine fines 

defined defines defining 
determined determines determining 

defined definite definitely 
undefined indefinite indefinitely 

defined determined evaluated 
define determine evaluate 

defined determined examined 
defines determines examines 

defined determined analyzed 
defining determining analyzing 

defined fined outlined 
defines fines outlines 

defined applied implied 
defines applies implies 

solid liquid fluid 
solids liquids fluids 

hotel restaurant cafe 
hotels restaurants cafes 

hotel cafe nightclub 
hotels cafes nightclubs 

adopted adopting adopts 
accepted accepting accepts 

adopted accepted rejected 
adopts accepts rejects 

adopted accepted rejected 
adopting accepting rejecting 

colors colorful coloring 
colours colourful colouring 

flowers flower flowering 
lowers lower lowering 

accepted accepts accepting 
rejected rejects rejecting 

accepted acceptance accepting 
rejected rejection rejecting 

accepted rejected subjected 
accepts rejects subjects 

accepted rejected denied 
accepting rejecting denying 

sense senses sensor 
tense tenses tensor 

bush reagan nixon 
bush's reagan's nixon's 

decision opinion prejudice 
decisions opinions prejudices 

administration administrations administers 
ministry ministries ministers 

administration administrator administer 
administrations administrators administers 

administration administers administer 
ministry ministers minister 

difference reference preference 
differences references preferences 

prisoners camps ramps 
prisoner camp ramp 

wrestler wrestlers wrestler's 
opponent opponents opponent's 

everyone everything everybody 
anyone anything anybody 

everyone anyone everyone's 
everybody anybody everybody's 

everyone everywhere everybody 
anyone anywhere anybody 

everyone nobody everybody 
everyone's nobody's everybody's 

gun guns cannon 
handgun handguns smoothbore 

gun shotgun handgun 
guns shotguns handguns 

gun rifle shotgun 
guns rifles shotguns 

gun cannon shotgun 
guns cannons shotguns 

mammals reptiles gastropods 
mammal reptile gastropod 

mammals marsupials lemurs 
mammal marsupial lemur 

liquid fluid ventricle 
liquids fluids ventricles 

philosophy philosophers philosophical 
theology theologians theological 

philosophy philosopher philosophers 
theology theologian theologians 

philosophy philosopher philosophers 
anthropology anthropologist anthropologists 

philosophy philosopher philosophers 
psychology psychologist psychologists 

philosophy philosopher philosophers 
economics economist economists 

philosophy theology ideology 
philosophical theological ideological 

philosophy theology ideology 
philosophers theologians ideologies 

philosophy theology sociobiology 
philosopher theologian sociologist 

philosophy sociology anthropology 
philosophers sociologists anthropologists 

philosophy ethics metaphysics 
philosophical ethical metaphysical 

philosophy anthropology palaeontology 
philosophers anthropologists palaeontologists 

philosophy anthropology paleontology 
philosopher anthropologist paleontologist 

philosophy psychology psychiatry 
philosophers psychologists psychiatrists 

philosophy economics anthropology 
philosopher economist anthropologist 

begins ends opens 
beginnings endings openings 

report reporter reporters 
journal journalist journalists 

report journal essay 
reporter journalist essayist 

serve reserve preserve 
serves reserves preserves 

press pressed pressing 
suppress suppressed suppression 

press pressed presses 
express expressed expresses 

press pressing presses 
express expressing expresses 

press impress compress 
pressed impressed compressed 

flat sharp harp 
flats sharps harps 

architecture architect architectures 
sculpture sculptor sculptures 

architecture sculpture artwork 
architectures sculptures artworks 

sixth eighth ninth 
sixteenth eighteenth nineteenth 

ends ending endings 
opens opening openings 

ends sends arrives 
ending sending arriving 

rail rails brakes 
trail trails bikes 

liked loved hated 
likes loves hates 

beat beating beaten 
defeat defeating defeated 

authority authorities jurisdictions 
priority priorities restrictions 

authority priority capability 
authorities priorities capabilities 

escape escaped escapes 
capture captured captures 

escape capture seize 
escaped captured seized 

escape destroy invade 
escaping destroying invading 

launched launching launches 
punched punching punches 

launched punched smashed 
launching punching smashing 

communist communism communists 
socialist socialism socialists 

communist communism communists 
nationalist nationalism nationalists 

communist communism communists 
fascist fascism fascists 

communist socialist nationalist 
communists socialists nationalists 

communist socialist marxist 
communism socialism marxism 

communist unionist abolitionist 
communists unionists abolitionists 

communist nationalist fascist 
communists nationalists fascists 

communist nationalist zionist 
communism nationalism zionism 

communist fascist anarchist 
communists fascists anarchists 

communist fascist anarchist 
communism fascism anarchism 

communist marxist zionist 
communism marxism zionism 

communist zionist calvinist 
communism zionism calvinism 

singapore singapore's singaporean 
indonesia indonesia's indonesian 

singapore singaporean singaporeans 
malaysia malaysian malays 

singapore singaporean singaporeans 
indonesia indonesian indonesians 

singapore malaysia thailand 
singaporean malaysian thai 

singapore thailand cambodia 
singaporean thai cambodian 

singapore indonesia malaysia 
singaporean indonesian malaysian 

singapore indonesia malaysia 
singaporeans indonesians malays 

writers authors readers 
writer's author's reader's 

writers readers publishers 
writings readings publications 

device microphone allophone 
devices microphones allophones 

trial prosecution tribunal 
trials prosecutions tribunals 

trial prosecutor juror 
trials prosecutors jurors 

trial jury prosecution 
trials juries prosecutions 

trial tribunal prosecutor 
trials tribunals prosecutors 

trial criminal prosecutor 
trials criminals prosecutors 

elections elects electing 
selections selects selecting 

elections elect electing 
selections select selecting 

austrian hungarian romanian 
austrians hungarians romanians 

austrian prussian frisian 
austrians prussians frisians 

selected selecting selections 
collected collecting collections 

selected selection selections 
collected collection collections 

selected selective selections 
collected collective collections 

selected collected reflected 
selection collection reflection 

selected collected reflected 
selections collections reflections 

selected collected objected 
selective collective objective 

particularly articulated articulation 
regularly regulated regulation 

industrial economical anatomical 
industrialist economist anatomist 

turkey armenia albania 
turkish armenian albanian 

turkey iran iraq 
turkey's iran's iraq's 

turkey iran tunisia 
turkish iranian tunisian 

defense defence defender 
defenses defences defenders 

defense defences defenses 
offense offences offenses 

defense defensive defenses 
offense offensive offenses 

defense defender defendant 
defenses defenders defendants 

defense defender defenders 
offense offender offenders 

defense defended defender 
offense offended offender 

defense defenders defenses 
offense offenders offenses 

convention conventions conventional 
intention intentions intentional 

convention conventional conventionally 
intention intentional intentionally 

convention invention mention 
conventions inventions mentions 

convention intervention violation 
conventions interventions violations 

convention intention intervention 
conventions intentions interventions 

convention mention intention 
conventions mentions intentions 

gained regained attained 
gain regain attain 

gained gaining gains 
retained retaining retains 

gained gain gaining 
obtained obtain obtaining 

gained gain gains 
retained retain retains 

gained gain gaining 
achieved achieve achieving 

gained obtained retained 
gaining obtaining retaining 

gained obtained attained 
gain obtain attain 

gained retained attained 
gain retain attain 

gained achieved obtained 
gaining achieving obtaining 

gained achieved attained 
gain achieve attain 

gained declined ruined 
gaining declining ruining 

bishop priest clergyman 
bishops priests clergy 

presented presenter presenting 
commented commentator commenting 

presented commented reviewed 
presenting commenting reviewing 

presented documented implemented 
presentation documentation implementation 

arrived arrives arriving 
disappeared disappears disappearing 

arrived disappeared cleared 
arriving disappearing clearing 

prevent prevents preventing 
avoid avoids avoiding 

prevent prevented preventing 
avoid avoided avoiding 

prevent avoid reduce 
preventing avoiding reducing 

prevent avoid reduce 
prevented avoided reduced 

block blocks blocking 
lock locks locking 

block blocking blocker 
lock locking locker 

block blocked blocker 
lock locked locker 

block lock flock 
blocks locks flocks 

block lock knock 
blocking locking knocking 

block lock unlock 
blocked locked unlocked 

block clock lock 
blocks clocks locks 
