sphere spheres 
missionary missionaries 
martyr martyrs 
disability disabilities 
tree trees 
simulation simulations 
compiler compilers 
passenger passengers 
CEO CEOs 
arbitrator arbitrators 
victim victims 
caption captions 
technician technicians 
edge edges 
refinery refineries 
astronaut astronauts 
Website Websites 
deity deities 
denomination denominations 
area areas 
mouse mice 
stranger strangers 
vector vectors 
glacier glaciers 
tabloid tabloids 
participant participants 
community communities 
province provinces 
commune communes 
spider spiders 
death deaths 
race races 
programme programmes 
detainee detainees 
fountain fountains 
desktop desktops 
category categories 
professional professionals 
basket baskets 
section sections 
councillor councillors 
plantation plantations 
snack snacks 
driver drivers 
intern interns 
dome domes 
Nationalist Nationalists 
interview interviews 
airline airlines 
firm firms 
guru devotees 
pic pics 
classroom classrooms 
inspector inspectors 
entrance entrances 
firearm firearms 
deck decks 
astronomer astronomers 
nurse nurses 
road roads 
candidate candidates 
parasite parasites 
drone drones 
valve valves 
novel novels 
witch witches 
strawberry strawberries 
promoter promoters 
clan clans 
discussion discussions 
association associations 
scan scans 
rat rats 
captain captains 
DVD DVDs 
eagle eagles 
monk monks 
charity charities 
ride rides 
fort forts 
tissue tissues 
platform platforms 
user users 
mentor mentors 
assassin assassins 
lizard lizards 
toddler toddlers 
queen queens 
residence residences 
rival rivals 
athlete athletes 
trustee trustees 
feature features 
guard guards 
contractor contractors 
villain villains 
photon photons 
plan plans 
bus buses 
evangelical evangelicals 
T-shirt T-shirts 
relationship relationships 
position positions 
reservoir reservoirs 
Member Members 
European Europeans 
cousin cousins 
sidewalk sidewalks 
book books 
Officer Officers 
boiler boilers 
ecosystem ecosystems 
convention conventions 
hospital hospitals 
outage outages 
jurisdiction jurisdictions 
reporter reporters 
coral corals 
strategist strategists 
enthusiast enthusiasts 
spot spots 
investor investors 
truck trucks 
nationalist nationalists 
Mac Macs 
technique techniques 
userbox userboxes 
Government Governments 
illness illnesses 
activist activists 
model models 
neuron neurons 
runner-up runners-up 
cube cubes 
movie movies 
menu menus 
teacher teachers 
parameter parameters 
disk disks 
row rows 
legislature legislatures 
husband husbands 
acquaintance acquaintances 
Armenian Armenians 
President Presidents 
lover lovers 
parcel parcels 
policy policies 
bag bags 
parade parades 
angel angels 
head heads 
whale whales 
fundamentalist fundamentalists 
psychologist psychologists 
mediator mediators 
rebel rebels 
choir choirs 
delegation delegations 
film films 
genome genomes 
dynasty dynasties 
golfer golfers 
diploma diplomas 
artifact artifacts 
tourist tourists 
playground playgrounds 
story stories 
assumption assumptions 
hacker hackers 
girlfriend girlfriends 
city cities 
advocate advocates 
parliament parliamentarians 
taxpayer taxpayers 
wife wives 
Democrat Democrats 
shooter shooters 
expert experts 
manufacturer manufacturers 
habitat habitats 
connection connections 
gene genes 
cone cones 
college colleges 
iPhone iPhones 
faction factions 
symbol symbols 
dilemma dilemmas 
squadron squadrons 
Liberal Liberals 
Scientist Scientists 
inmate inmates 
jacket jackets 
resort resorts 
commentator commentators 
jumper jumpers 
educator educators 
collision collisions 
recipient recipients 
tumor tumors 
lake lakes 
surgeon surgeons 
helper helpers 
baron barons 
